,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.02,0.33,0.35,0.02,0.35,Matches
48,Antonio Barragán,es ESP,DF,Elche,33,1987,27,26,"2,235",24.8,0,3,0,0,0,8,0,0,0.12,0.12,0,0.12,0.6,0.6,1,1.6,0.02,0.04,0.06,0.02,0.06,Matches
49,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,31,13,"1,307",14.5,3,0,3,0,0,7,0,0.21,0,0.21,0.21,0.21,1.8,1.8,2,3.8,0.12,0.14,0.26,0.12,0.26,Matches
50,Marc Bartra,es ESP,DF,Betis,29,1991,19,19,"1,694",18.8,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,0.4,0.4,0.8,1.3,0.02,0.04,0.07,0.02,0.07,Matches
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,32,29,"2,492",27.7,1,0,1,0,0,10,1,0.04,0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches
53,Jon Bautista,es ESP,"FW,MF",Real Sociedad,25,1995,21,0,370,4.1,0,1,0,0,0,3,0,0,0.24,0.24,0,0.24,1,1,0.2,1.2,0.23,0.06,0.29,0.23,0.29,Matches
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,32,13,"1,399",15.5,3,0,3,0,0,3,0,0.19,0,0.19,0.19,0.19,1.4,1.4,0.3,1.7,0.09,0.02,0.11,0.09,0.11,Matches
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,34,33,"2,894",32.2,23,9,22,1,1,2,0,0.72,0.28,1,0.68,0.96,17.8,17,6.3,23.3,0.55,0.2,0.75,0.53,0.72,Matches
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,23,21,"1,682",18.7,1,3,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,0.8,0.8,1.9,2.7,0.04,0.1,0.14,0.04,0.14,Matches
58,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,35,27,"2,278",25.3,8,4,8,0,0,4,0,0.32,0.16,0.47,0.32,0.47,6.1,6.1,3.8,9.9,0.24,0.15,0.39,0.24,0.39,Matches
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,21,19,"1,529",17,0,0,0,0,0,1,0,0,0,0,0,0,0.9,0.9,0,0.9,0.05,0,0.05,0.05,0.05,Matches
60,Blanco,es ESP,"MF,DF",Real Madrid,20,2000,4,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.03,0.04,0.02,0.04,Matches
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,13,6,580,6.4,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,0.8,0.8,0.5,1.3,0.12,0.08,0.2,0.12,0.2,Matches
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,19,19,"1,637",18.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,9,2,251,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33,33,"2,970",33,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,0.3,0.3,0,0.4,0.01,0,0.01,0.01,0.01,Matches
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,34,32,"2,694",29.9,7,2,7,0,0,9,1,0.23,0.07,0.3,0.23,0.3,5.9,5.9,1,7,0.2,0.03,0.23,0.2,0.23,Matches
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,29,11,"1,175",13.1,2,2,2,0,1,3,0,0.15,0.15,0.31,0.15,0.31,5,4.2,2,6.3,0.38,0.16,0.54,0.32,0.48,Matches
68,Darko Bra_anac,rs SRB,MF,Osasuna,28,1992,16,9,909,10.1,2,0,2,0,0,4,0,0.2,0,0.2,0.2,0.2,1.3,1.3,0.2,1.4,0.12,0.02,0.14,0.12,0.14,Matches
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20,20,"1,800",20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,Matches
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,25,16,"1,321",14.7,0,0,0,0,0,4,1,0,0,0,0,0,0.3,0.3,0,0.4,0.02,0,0.02,0.02,0.02,Matches
72,Juan Brunet,ar ARG,MF,Granada,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
