Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches\
561,Daniel Wass\\Daniel-Wass,dk DEN,DFMF,Valencia,30,1989,35,30,2733,30.4,1,6,1,0,0,7,0,0.03,0.2,0.23,0.03,0.23,1.2,1.2,2.6,3.8,0.04,0.08,0.12,0.04,0.12,Matches\
562,I\'f1aki Williams\\Inaki-Williams,es ESP,FW,Athletic Club,25,1994,38,34,2939,32.7,6,1,5,1,2,3,0,0.18,0.03,0.21,0.15,0.18,7.3,5.8,2.6,8.4,0.22,0.08,0.3,0.18,0.26,Matches\
563,Yoel\\Yoel,es ESP,GK,Eibar,30,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
564,Okay Yoku\uc0\u351 lu\\Okay-Yokuslu,tr TUR,MF,Celta Vigo,25,1994,26,24,1973,21.9,0,2,0,0,0,6,0,0,0.09,0.09,0,0.09,0.3,0.3,1.4,1.7,0.01,0.06,0.08,0.01,0.08,Matches\
565,Joseba Zald\'faa\\Joseba-Zaldua,es ESP,DF,Real Sociedad,27,1992,30,29,2545,28.3,0,2,0,0,0,8,1,0,0.07,0.07,0,0.07,0.2,0.2,1.6,1.8,0.01,0.06,0.06,0.01,0.06,Matches\
566,Andre-Frank Zambo Anguissa\\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Villarreal,23,1995,36,28,2583,28.7,2,0,2,0,0,6,0,0.07,0,0.07,0.07,0.07,2.4,2.4,0.8,3.2,0.08,0.03,0.11,0.08,0.11,Matches\
567,Igor Zubeldia\\Igor-Zubeldia,es ESP,MFDF,Real Sociedad,22,1997,33,29,2640,29.3,0,1,0,0,0,9,0,0,0.03,0.03,0,0.03,0.4,0.4,0.6,0.9,0.01,0.02,0.03,0.01,0.03,Matches\
568,Mart\'edn Zubimendi\\Martin-Zubimendi,es ESP,MF,Real Sociedad,20,1999,9,6,524,5.8,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.01,0.03,0.04,0.01,0.04,Matches\
569,David Zurutuza\\David-Zurutuza,es ESP,MF,Real Sociedad,33,1986,5,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches\
570,Martin \'d8degaard\\Martin-Odegaard,no NOR,MF,Real Sociedad,20,1998,31,29,2527,28.1,4,6,4,0,0,3,0,0.14,0.21,0.36,0.14,0.36,3.2,3.2,5.1,8.4,0.11,0.18,0.3,0.11,0.3,Matches}
